Address,Segments,Content Type,Status Code,Status,Indexability,Indexability Status,Canonical Link Element 1,Redirect URL,Redirect Type,Meta Robots 1,X-Robots-Tag 1,Language,Crawl Timestamp,Last Modified,Size (Bytes),Word Count,Inlinks,Unique Inlinks,Outlinks,Unique Outlinks,Response Time
https://reviews-microsite.example.net/s2/p05/p04/,s2/p05/p04,text/html; charset=utf-8,200,"",Non-Indexable,Canonicalised,https://reviews-microsite.example.com/s2/p05/p04/,"","","","",en-us,2026-07-06 10:30:54,"",29198,548,6,6,54,46,0.311
https://reviews-microsite.example.net/s2/p07/p02/,s2/p07/p02,text/html; charset=utf-8,200,"",Non-Indexable,Canonicalised,https://reviews-microsite.example.com/s2/p07/p02/,"","","","",en-us,2026-07-06 10:30:54,"",53687,1434,68,62,58,42,0.217
https://reviews-microsite.example.net/s2/p01/p01/,s2/p01/p01,text/html; charset=utf-8,200,"",Non-Indexable,Canonicalised,https://reviews-microsite.example.com/s2/p01/p01/,"","","","",en-us,2026-07-06 10:31:01,"",30027,646,130,62,61,45,0.534
https://reviews-microsite.example.net/s2/p06/p04/,s2/p06/p04,text/html; charset=utf-8,200,"",Non-Indexable,Canonicalised,https://reviews-microsite.example.com/s2/p06/p04/,"","","","",en-us,2026-07-06 10:31:01,"",53563,1350,75,62,58,42,0.230
https://reviews-microsite.example.net/s2/p06/p01/,s2/p06/p01,text/html; charset=utf-8,200,"",Non-Indexable,Canonicalised,https://reviews-microsite.example.com/s2/p06/p01/,"","","","",en-us,2026-07-06 10:31:01,"",59331,2281,81,62,55,42,0.323
https://reviews-microsite.example.net/s2/p05/p03/,s2/p05/p03,text/html; charset=utf-8,200,"",Non-Indexable,Canonicalised,https://reviews-microsite.example.com/s2/p05/p03/,"","","","",en-us,2026-07-06 10:31:08,"",47302,781,4,4,53,44,0.229
https://reviews-microsite.example.net/s2/p02/p07/,s2/p02/p07,text/html; charset=utf-8,200,"",Non-Indexable,Canonicalised,https://reviews-microsite.example.com/s2/p02/p07/,"","","","",en-us,2026-07-06 10:31:09,"",60805,2318,65,62,54,42,0.195
https://reviews-microsite.example.net/s2/p04/p02/,s2/p04/p02,text/html; charset=utf-8,200,"",Non-Indexable,Canonicalised,https://reviews-microsite.example.com/s2/p04/p02/,"","","","",en-us,2026-07-06 10:31:16,"",29420,577,2,2,55,47,0.215
https://reviews-microsite.example.net/s2/p06/p02/,s2/p06/p02,text/html; charset=utf-8,200,"",Non-Indexable,Canonicalised,https://reviews-microsite.example.com/s2/p06/p02/,"","","","",en-us,2026-07-06 10:31:16,"",54822,1597,87,62,55,42,0.225
https://reviews-microsite.example.net/s2/p08/p03/,s2/p08/p03,text/html; charset=utf-8,200,"",Non-Indexable,Canonicalised,https://reviews-microsite.example.com/s2/p08/p03/,"","","","",en-us,2026-07-06 10:31:16,"",53211,1407,71,62,56,42,0.217
https://reviews-microsite.example.net/s2/p12/p01/,s2/p12/p01,text/html; charset=utf-8,200,"",Non-Indexable,Canonicalised,https://reviews-microsite.example.com/s2/p12/p01/,"","","","",en-us,2026-07-06 10:31:23,"",31254,699,4,4,55,45,0.196
https://reviews-microsite.example.net/s2/p03/p01/,s2/p03/p01,text/html; charset=utf-8,200,"",Non-Indexable,Canonicalised,https://reviews-microsite.example.com/s2/p03/p01/,"","","","",en-us,2026-07-06 10:31:23,"",35725,1201,3,3,55,44,0.222
https://reviews-microsite.example.net/s2/p04/,s2/p04,text/html; charset=utf-8,200,"",Non-Indexable,Canonicalised,https://reviews-microsite.example.com/s2/p04/,"","","","",en-us,2026-07-06 10:31:29,"",32163,663,10,8,51,43,0.262
https://reviews-microsite.example.net/s2/p07/,s2/p07,text/html; charset=utf-8,200,"",Non-Indexable,Canonicalised,https://reviews-microsite.example.com/s2/p07/,"","","","",en-us,2026-07-06 10:31:29,"",50430,912,78,62,52,43,0.228
https://reviews-microsite.example.net/s2/p11/p01/,s2/p11/p01,text/html; charset=utf-8,200,"",Non-Indexable,Canonicalised,https://reviews-microsite.example.com/s2/p11/p01/,"","","","",en-us,2026-07-06 10:31:29,"",55034,1658,64,62,67,42,0.200
